tree.number	q01.sim	q10.sim	pSpec.sim	q01.fit	q10.fit	pSpec.fit	llik.fit	
44	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1476017336719	 
31	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1454436150611	 
39	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1474797956597	 
32	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1439918733239	 
35	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1468478179282	 
10	 0.001	 0.001	 0.4	 0.0024562794668317	 0.641127557408355	 0.006629861192062	 12.5138369532045	 
45	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1438543207048	 
53	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9339804429182	 
43	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9344938197912	 
29	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9351880623497	 
47	 0.001	 0.001	 0.4	 0.00229761515670477	 0.417155363163574	 0.0133210423671607	 12.9340689009183	 
5	 0.001	 0.001	 0.4	 0.00280887151719485	 0.417327305166381	 0.0114640939265914	 12.9330298166054	 
2	 0.001	 0.001	 0.4	 0.00229761515670477	 0.417155363163574	 0.0133210423671607	 12.9341363735643	 
1	 0.001	 0.001	 0.4	 0.00171132830416179	 0.429866234708225	 0.0136581954953344	 12.9396998959271	 
55	 0.001	 0.001	 0.4	 0.0024562794668317	 0.641127557408355	 0.006629861192062	 12.5141513743552	 
24	 0.001	 0.001	 0.4	 0.00319972359036311	 0.30853369444128	 0.0125208213417096	 11.8562492087557	 
28	 0.001	 0.001	 0.4	 0.00319972359036311	 0.30853369444128	 0.0125208213417096	 11.8553389263271	 
11	 0.001	 0.001	 0.4	 0.00246890213020455	 0.415431277555528	 0.0128683334829192	 12.9390163977297	 
26	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5096211736101	 
56	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5097477557533	 
