tree.number	q01.sim	q10.sim	pSpec.sim	q01.fit	q10.fit	pSpec.fit	llik.fit	
50	 0.1	 0.1	 0.4	 0.0787443016548181	 0.108316969816492	 0.509841878628011	 64.6317269812178	 
39	 0.1	 0.1	 0.4	 0.0639175111638276	 0.177139465219784	 0.502244794257628	 57.2850062925293	 
53	 0.1	 0.1	 0.4	 0.088935279458817	 0.30383576139438	 0.433524548924603	 61.0234691026215	 
41	 0.1	 0.1	 0.4	 0.0778816574027753	 0.271999371944163	 0.497699722658983	 51.3135972119341	 
38	 0.1	 0.1	 0.4	 0.0922710762855641	 0.22561905278924	 0.502832589393391	 67.2056924308173	 
10	 0.1	 0.1	 0.4	 0.0825404185268019	 0.375837404288444	 0.423701490070915	 63.6690240556222	 
27	 0.1	 0.1	 0.4	 0.0548721341813348	 0.188164216756891	 0.442630639212524	 46.8702010776658	 
5	 0.1	 0.1	 0.4	 0.106965525019905	 0.323779602533611	 0.19198113327002	 64.3269970473607	 
29	 0.1	 0.1	 0.4	 0.0888543361558507	 0.399089775825304	 0.211605244162329	 64.5202370420314	 
13	 0.1	 0.1	 0.4	 0.10680674495492	 0.365783786498098	 0.331369654385259	 59.2437808365933	 
1	 0.1	 0.1	 0.4	 0.0381132855686934	 0.253711572914027	 0.380047402927258	 43.9906985753079	 
12	 0.1	 0.1	 0.4	 0.139235506820359	 0.215788242440282	 0.254408849247176	 68.2494004368036	 
14	 0.1	 0.1	 0.4	 0.0833148496875621	 0.475051762418921	 0.197713648438107	 58.0970783350517	 
52	 0.1	 0.1	 0.4	 0.0694491071378122	 0.397948057282977	 0.462836975440314	 56.1305901049997	 
24	 0.1	 0.1	 0.4	 0.066125713384444	 0.33235708271878	 0.740191241593749	 71.4728546178279	 
16	 0.1	 0.1	 0.4	 0.0987289332240865	 0.331413633627794	 0.264502853537776	 74.6214762253313	 
8	 0.1	 0.1	 0.4	 0.129097612283862	 0.416003727680275	 0.388375074304273	 54.2667316959948	 
55	 0.1	 0.1	 0.4	 0.0985393733261004	 0.432654547016034	 0.179664438012742	 76.1624569395004	 
7	 0.1	 0.1	 0.4	 0.132501935505676	 0.408423865267455	 0.503570164717667	 70.3385138272191	 
51	 0.1	 0.1	 0.4	 0.115962369802721	 0.360837109259816	 0.376861433137843	 64.5783201714177	 
56	 0.1	 0.1	 0.4	 0.118415503195437	 0.514175182768395	 0.428784807731989	 63.1117009535215	 
17	 0.1	 0.1	 0.4	 0.0751850836482273	 0.581395785517608	 0.476942503480172	 66.8296106642239	 
37	 0.1	 0.1	 0.4	 0.0969744460362892	 0.385000100991662	 0.199153100810581	 55.1841976297887	 
30	 0.1	 0.1	 0.4	 0.0682109607599671	 0.320683333096346	 0.874615028947794	 59.1409653297267	 
44	 0.1	 0.1	 0.4	 0.103997309782782	 0.647482067654583	 0.204382997841098	 67.8002633700193	 
36	 0.1	 0.1	 0.4	 0.0951364073600392	 0.454525491862358	 0.175299648561263	 70.8585860462931	 
47	 0.1	 0.1	 0.4	 0.0959751454915018	 0.462654024477856	 0.264457821596329	 61.0820975700462	 
43	 0.1	 0.1	 0.4	 0.1248900322571	 0.526341193737274	 0.477019008935499	 73.8759362813524	 
31	 0.1	 0.1	 0.4	 0.107271338710701	 0.609967637522293	 0.195709491664029	 76.3151968568068	 
22	 0.1	 0.1	 0.4	 0.0740609027171579	 0.46707746651798	 0.525018165514857	 62.516301437422	 
6	 0.1	 0.1	 0.4	 0.101978106639131	 0.32136776676833	 0.240497694406903	 68.4531200020506	 
11	 0.1	 0.1	 0.4	 0.0845748829058026	 0.52322745226722	 0.45160415543159	 65.2712114928358	 
34	 0.1	 0.1	 0.4	 0.137988232947091	 0.671107797218078	 0.121340473702366	 57.7842853121026	 
2	 0.1	 0.1	 0.4	 0.0816718517091212	 0.621762627490815	 0.149891566406732	 64.9660315273948	 
25	 0.1	 0.1	 0.4	 0.067144833754028	 0.790721045920896	 0.502598753076879	 63.8340155151367	 
48	 0.1	 0.1	 0.4	 0.165597857084071	 0.490101860503819	 0.324623784112456	 77.8561564860291	 
40	 0.1	 0.1	 0.4	 0.0856030271028287	 0.625730206517537	 0.150888258221431	 64.5579625828709	 
19	 0.1	 0.1	 0.4	 0.053524776209641	 0.313753619140088	 0.284935029024802	 47.9495187237426	 
23	 0.1	 0.1	 0.4	 0.0949705178293361	 0.506377309534622	 0.179787517998614	 64.4820882855985	 
54	 0.1	 0.1	 0.4	 0.113305292863759	 0.794928197288944	 0.19474880132669	 74.9324124146188	 
45	 0.1	 0.1	 0.4	 0.0699615112379114	 0.44311015455401	 0.532560267277313	 77.9305441693955	 
4	 0.1	 0.1	 0.4	 0.0760866635054196	 0.655693421199096	 0.178968806868779	 60.1563983438071	 
33	 0.1	 0.1	 0.4	 0.0501721789911656	 0.511994964045943	 0.493568330361865	 42.592554406064	 
26	 0.1	 0.1	 0.4	 0.0661511732879118	 0.478961676370195	 0.682676604335333	 51.8432129274441	 
20	 0.1	 0.1	 0.4	 0.0651659460799584	 0.512123374060199	 0.729292663119899	 58.3169170173867	 
15	 0.1	 0.1	 0.4	 0.103017622469545	 0.558160705951592	 0.643032362809911	 80.2102966456077	 
49	 0.1	 0.1	 0.4	 0.0344214159042822	 0.422687322154348	 0.292876623179817	 35.1000369038149	 
