t16,t2,t1,t4,t5,t12,t18,t13,t17,t10,t8,t9,t14,t7,t6,t19,t15,t11,t3
t16,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
t2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
t1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
t4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
t5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
t12,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
t18,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
t13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
t17,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1
t10,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1
t8,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1
t9,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
t14,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
t7,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1
t6,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1
t19,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1
t15,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
t11,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1
t3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
