Celtic_Sea_PW-O	Callionymus lyra _-999	Goby_-999	Trachurus trachurus _-999	Cepola macrophthalma _-999	Scomber scombrus _-999	Sandeel_-999	Arnoglossus imperialis _-999	Hippoglossoides platessoides _-999	Glyptocephalus cynoglossus _-999	Microstomus kitt _-999	Lepidorhombus boscii _-999	Lepidorhombus whiffiagonis _-999	Buglossidium luteum _-999	Microchirus variegatus _-999	Scaldfish_-999	Flatfish_-999	Agonus cataphractus _-999	Chelidonichthys cuculus _-999	Eutrigla gurnardus _-999	Capros aper _-999	Zeus faber _-999	Clupea harengus _-999	Sardina pilchardus _-999	Sprattus sprattus _-999	Engraulis encrasicolus _-999	Clupeoid_-999	Gadiculus argenteus _-999	Gadus morhua _-999	Melanogrammus aeglefinus _-999	Merlangius merlangus _-999	Micromesistius poutassou _-999	Pollachius pollachius _-999	Pollachius virens _-999	Trisopterus _-999	Trisopterus esmarkii _-999	Trisopterus luscus _-999	Trisopterus minutus _-999	Molva molva _-999	Gaidropsarus vulgaris _-999	Gadoid_-999	Merluccius merluccius _-999	Lophius budegassa _-999	Lophius piscatorius _-999	Rockling_-999	Argentina sphyraena _-999	Fish-Larvae_-999	Fish-unidentified_-999	Hatchet-fish_-999	Myctophid_-999	Scyliorhinus canicula _-999	Galeorhinus galeus _-999	Leucoraja fullonica _-999	Leucoraja naevus _-999	Raja clavata _-999	Raja montagui _-999	Raja undulata _-999	Squalus acanthias _-999
Callionymus lyra _-999	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
Goby_-999	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Trachurus trachurus _-999	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1
Cepola macrophthalma _-999	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Scomber scombrus _-999	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1
Sandeel_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Arnoglossus imperialis _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hippoglossoides platessoides _-999	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Glyptocephalus cynoglossus _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Microstomus kitt _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
