Grassland_FW-O	Pediobius _larvae	Pediobius alaspharus _larvae	Pediobius calamagrostidis _larvae	Pediobius claridgei _larvae	Pediobius dactylicola _larvae	Pediobius deschampiae _larvae	Pediobius eubius _larvae	Pediobius festucae _larvae	Pediobius phalaridis _larvae	Pediobius planiventris _larvae	Eupelmus atropurpureus _larvae	Macroneura vesicularis _larvae	Ahtola atra _larvae	Eurytoma _larvae	Eurytoma appendigaster _larvae	Eurytoma castor _larvae	Eurytoma collaris _larvae	Eurytoma danuvica _larvae	Eurytoma erdoesi _larvae	Eurytoma flavimana _larvae	Eurytoma phalaridis _larvae	Eurytoma pollux _larvae	Eurytoma roseni _larvae	Eurytoma tapio _larvae	Sycophila mellea _larvae	Tetramesa airae _larvae	Tetramesa albomaculata _larvae	Tetramesa angustipennis _larvae	Tetramesa brevicollis _larvae	Tetramesa brevicornis _larvae	Tetramesa calamagrostis _larvae	Tetramesa cornuta _larvae	Tetramesa eximia _larvae	Tetramesa fulvicollis _larvae	Tetramesa hyalipennis _larvae	Tetramesa linearis _larvae	Tetramesa longicornis _larvae	Tetramesa longula _larvae	Tetramesa petiolata _larvae	Tetramesa phleicola _larvae	Chlorocytus _larvae	Chlorocytus agropyri _larvae	Chlorocytus deschampiae _larvae	Chlorocytus formosus _larvae	Chlorocytus harmolitae _larvae	Chlorocytus phalaridis _larvae	Chlorocytus pulchripes _larvae	Chlorocytus ulticonus _larvae	Homoporus _larvae	Homoporus febriculosus _larvae	Homoporus fulviventris _larvae	Homoporus luniger _larvae	Mesopolobus graminum _larvae	Torymus baudysi _larvae	Bracon _larvae	Bracon erythrostictus _larvae	Endromopoda_larvae
Pediobius _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius alaspharus _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius calamagrostidis _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius claridgei _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Pediobius dactylicola _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Pediobius deschampiae _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius eubius _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius festucae _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediobius phalaridis _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Pediobius planiventris _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
