Mill_Stream_FW-O	Erpobdella octoculata _adults; juveniles	Eiseniella tetraedra _adults; juveniles	Naididae_adults; juveniles	Tubificidae_adults; juveniles	Lumbriculidae_adults; juveniles	Gammarus pulex _adults; juveniles	Asellus aquaticus _adults; juveniles	Ostracoda_-999	Sialis lutaria _larvae	Brychius elevatus _larvae	Elmis aenea _larvae	Limnius _larvae	Limnophora _larvae	Bezzia _larvae	Microtendipes _-999	Microtendipes _larvae	Cricotopus _-999	Cricotopus _larvae	Heterotrissocladius _-999	Heterotrissocladius _larvae	Synorthocladius _larvae	Macropelopia _larvae	Pentaneura _-999	Procladius _larvae	Simuliidae_-999	Simuliidae_larvae	Pericoma trivialis _larvae	Limnophila _larvae	Antocha vitripennis _larvae	Limonia _larvae	Tipula montium _-999	Tipula montium _larvae	Aphelocheirus aestivalis _larvae	Hydropsyche _larvae	Polycentropus flavomaculatus _larvae	Tinodes waeneri _larvae	Hydroptila _larvae	Athripsodes cinereus _larvae	Brachycentrus subnubilus _larvae	Anabolia nervosa _larvae	Limnephilus _larvae	Halesus radiatus _larvae	Potamophylax latipennis _larvae	Rhyacophila dorsalis _larvae	Sericostoma personatum _larvae	Ephemera danica _-999	Ephemera danica _larvae	Pisidium _adults; juveniles	Theodoxus fluviatilis _adults; juveniles	Ancylus fluviatilis _adults; juveniles	Lymnea peregra _adults; juveniles	Valvata piscinalis _adults; juveniles	Potamopyrgus jenkinsi _adults; juveniles	Nematoda_-999	Cyanobacteria_-999	Achnanthes elliptica _-999	Achnanthes lanceolata _-999	Cocconeis placentula _-999	Nitzschia dissipata _-999	Nitzschia perminuta _-999	Cymbella minuta _-999	Gomphonema olivaceum _-999	Rhoicosphenia curvata _-999	Navicula gregaria _-999	Navicula lanceolata _-999	Navicula menisculus _-999	Navicula tripunctata _-999
Erpobdella octoculata _adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eiseniella tetraedra _adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naididae_adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubificidae_adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lumbriculidae_adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammarus pulex _adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asellus aquaticus _adults; juveniles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostracoda_-999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sialis lutaria _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brychius elevatus _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
