Sheffield_PW-O	Helobdella stagnalis _-999	Helobdella stagnalis _adults	Piscicola geometra _-999	Tubificidae (Species 1)_-999	Tubificidae_-999	Unionicola Pentatax _-999	Acari (Species 1)_-999	Acari (Species 2)_-999	Chydoridae (Species 1)_-999	Daphnia magna _-999	Daphnia pulex _-999	Simocephalus vetulus _-999	Crangonyx pseudogracilis _-999	Gammarus pulex _-999	Asellus aquaticus _-999	Cyclopoidea_-999	Ostracoda_-999	Sialis lutaria _-999	Sialis lutaria _adults	Agabus _larvae	Agabus bipustulatus _adults	Agabus nebulosus _-999	Hygrotus inaequalis _-999	Laccophilus minutus _-999	Haliplus ruficollis _-999	Noterus clavicornis _-999	Chaoborus crystallinus _larvae	Chaoborus crystallinus _pupae	Chaoborus obscuripes _-999	Chironomidae (Species 1)_-999	Chironomidae (Species 2)_-999	Chironomidae (Species 3)_-999	Chironomidae (Species 4)_-999	Chironomidae (Species 5)_-999	Ceratopogonidae_-999	Culicidae_-999	Corixa punctata _-999	Cymatia coleoptrata _-999	Hesperocorixa castanea _-999	Sigara dorsalis _-999	Sigara dorsalis _larvae	Sigara nigrolineata _-999	Notonecta glauca _adults	Nemoura cinerea _-999	Cyrnus flavidus _-999	Limnephilus centralis _-999	Limnephilus flavicornis _-999	Caenis horaria _-999	Caenis luctuosa _-999	Cloeon dipterum _-999	Aeshna cyanea _larvae	Coenagrion puella _larvae	Ischnura elegans _-999	Lymnea _-999	Lymnea peregra _-999	Potamopyrgus jenkinsi _-999	Polycelis tenuis _-999	Polycelis tenuis _adults
Helobdella stagnalis _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Helobdella stagnalis _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscicola geometra _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubificidae (Species 1)_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tubificidae_-999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Unionicola Pentatax _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acari (Species 1)_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acari (Species 2)_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chydoridae (Species 1)_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Daphnia magna _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
Daphnia pulex _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Simocephalus vetulus _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
