Silwood_Park_PW-O	Acyrthosiphon pisum _adults	Acyrthosiphon pisum _larvae	Amphorophora rubi _adults	Amphorophora rubi _larvae	Aphis _adults	Aphis _larvae	Capitophorus carduinis _adults	Capitophorus carduinis _larvae	Macrosiphum funestum _adults	Macrosiphum funestum _larvae	Megoura viciae _adults	Megoura viciae _larvae	Metopolophium albidum _adults	Metopolophium albidum _larvae	Microlophium carnosum _adults	Microlophium carnosum _larvae	Sitobion _adults	Sitobion _larvae	Sitobion ptericolens _adults	Sitobion ptericolens _larvae	Aphelinus abdominalis _adults	Aphelinus varipes _adults	Aphidius eadyi _adults	Aphidius ervi _adults	Aphidius matricariae _adults	Aphidius microlophii _adults	Aphidius picipes _adults	Aphidius rhopalosiphi _adults	Aphidius urticae _adults	Binodoxys acalephe _adults	Ephedrus plagiator _adults	Praon abjectum _adults	Praon dorsale _adults	Praon volucre _adults
Acyrthosiphon pisum _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	4	0	0	0	0	0	4	0
Acyrthosiphon pisum _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0	0	4	0	0	0	0	0	4	0
Amphorophora rubi _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	4	0
Amphorophora rubi _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0
Aphis _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0
Aphis _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0
Capitophorus carduinis _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Capitophorus carduinis _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Macrosiphum funestum _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	4	0
Macrosiphum funestum _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0
Megoura viciae _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Megoura viciae _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0
