Skipwith_Pound_FW-O	Lumbriculus variegatus _adults	Lumbriculus variegatus _larvae	Enchytraeidae_adults	Enchytraeidae_larvae	Oribatei sp _adults	Argyroneta aquatica _adults	Argyroneta aquatica _larvae	Chydorus latus _adults	Chydorus latus _larvae	Scapholeberis mucronata _adults	Scapholeberis mucronata _juveniles	Scapholeberis mucronata _larvae	Acanthocyclops vernalis _adults	Acanthocyclops vernalis _larvae	Sialis lutaria _adults	Sialis lutaria _larvae	Agabus bipustulatus _adults	Agabus bipustulatus _larvae	Agabus sturmii _adults	Agabus sturmii _larvae	Dytiscus marginalis _adults	Dytiscus marginalis _larvae	Hydroporus erythrocephalus _adults	Hydroporus erythrocephalus _larvae	Illybius fuliginosus _adults	Illybius fuliginosus _larvae	Chironomus dorsalis _adults	Chironomus dorsalis _juveniles	Chironomus dorsalis _larvae	Glyptotendipes pallens _adults	Glyptotendipes pallens _larvae	Tanytarsus _adults	Tanytarsus _larvae	Corynoneura scutellata _adults	Corynoneura scutellata _larvae	Procladius sagittalis _adults	Procladius sagittalis _larvae	Chironomidae_adults	Chironomidae_larvae	Arctocorisa germari _larvae	Callicorixa praeusta _adults	Callicorixa praeusta _larvae	Corixa dentipes _adults	Corixa dentipes _larvae	Corixa punctata _adults	Corixa punctata _larvae	Hesperocorixa linnei _adults	Hesperocorixa linnei _larvae	Hesperocorixa sahlbergi _adults	Hesperocorixa sahlbergi _larvae	Sigara semistriata _adults	Sigara semistriata _larvae	Notonecta glauca _adults	Notonecta glauca _larvae	Holocentropus picicornis _adults	Holocentropus picicornis _larvae	Limnephilus marmoratus _adults	Limnephilus marmoratus _larvae	Aeshna juncea _adults	Aeshna juncea _larvae	Sympetrum scoticum _adults	Sympetrum scoticum _larvae	Enallagma cyathigerum _adults	Enallagma cyathigerum _larvae	Lestes sponsa _adults	Lestes sponsa _larvae	Polycelis tenuis _larvae
Lumbriculus variegatus _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Lumbriculus variegatus _larvae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
Enchytraeidae_adults	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Enchytraeidae_larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0
Oribatei sp _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argyroneta aquatica _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Argyroneta aquatica _larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chydorus latus _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chydorus latus _larvae	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0
Scapholeberis mucronata _adults	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
