Tuesday_Lake_FW-O	Bosmina longirostris _-999	Daphnia pulex _-999	Daphnia rosea _-999	Holopedium gibberum _-999	Diaphanosoma leuchtenbergianum _-999	Leptodiaptomus siciloides _-999	Skistodiaptomus oregonensis _-999	Cyclops varicans rubellus_-999	Orthocyclops modestus _-999	Tropocyclops prasinus _-999	Chaoborus punctipennis _-999	Micropterus salmoides _-999	Phoxinus eos _-999	Phoxinus neogaeus _-999	Umbra limi _-999	Conochiloides dossuarius _-999	Conochilus _-999	Filinia longispina _-999	Kellicottia _-999	Kellicottia bostoniensis _-999	Kellicottia longispina _-999	Keratella cochlearis _-999	Keratella testudo _-999	Ascomorpha eucadis _-999	Gastropus hyptopus _-999	Gastropus stylifer _-999	Ploesoma _-999	Polyarthra vulgaris _-999	Synchaeta _-999	Trichocerca cylindrica _-999	Trichocerca multicrinis _-999	Chroococcus dispersus _-999	Chroococcus limneticus _-999	Microcystis aeruginosa _-999	Nostoc _-999	Oscillatoria _-999	Synedra _-999	Ankyra judai _-999	Schroederia setigera _-999	Gloeocystis _-999	Dictyosphaerium pulchellum _-999	Ankistrodesmus spiralis _-999	Closteriopsis longissima _-999	Oocystis _-999	Quadrigula _-999	Quadrigula lacustris _-999	Selenastrum minutum _-999	Sphaerocystis schroeteri _-999	Arthrodesmus _-999	Cosmarium _-999	Chromulina _-999	Dinobryon bavaricum _-999	Dinobryon cylindricum _-999	Dinobryon sertularia _-999	Dinobryon sociale _-999	Mallomonas _-999	Cryptomonas _-999	Trachelomonas _-999	Glenodinium pulvisulcus _-999	Glenodinium quadridens _-999	Peridinium cinctum _-999	Peridinium limbatum _-999	Peridinium pusillum _-999	Peridinium wisconsinense _-999	Unclassified flagellates_-999	Unclassified microflagellates_-999
Bosmina longirostris _-999	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia pulex _-999	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia rosea _-999	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holopedium gibberum _-999	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphanosoma leuchtenbergianum _-999	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptodiaptomus siciloides _-999	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skistodiaptomus oregonensis _-999	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyclops varicans rubellus_-999	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orthocyclops modestus _-999	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tropocyclops prasinus _-999	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
