s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19
s1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
s2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
s3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
s4,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1
s5,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
s6,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
s7,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
s8,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0
s9,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0
s10,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0
s11,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
s12,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
s13,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
s14,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1
s15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
s16,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
s17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s18,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
s19,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
