s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
s1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1
s2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0
s3,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
s4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
s5,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
s6,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1
s7,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1
s8,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0
s9,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
s10,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
s11,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
s12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
s13,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1
s14,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
s15,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
s16,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
s17,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
s18,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
s19,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
s20,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0
