s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
s1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
s2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
s3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
s4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0
s5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
s6,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
s7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
s8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s9,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0
s10,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
s11,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
s12,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
s13,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1
s14,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
s15,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
